,name,rating,title,date,review_body
119,Amazon Customer,4.0 out of 5 stars,Delivers what it promises,Reviewed in India on 29 July 2021,"Does a pretty good job of mopping up  water collecting in the balcony after I finish watering the plants . Quality of make is not top notch , but it delivers the performance it promises ."
120,Apong,5.0 out of 5 stars,Great product,Reviewed in India on 29 July 2021,Great product for a reasonable price.
121,regzin wangtak,2.0 out of 5 stars,Where I can buy the spare pipe from..... The frelible pipe broke from the joint,Reviewed in India on 28 July 2021,Where I can buy the spare pipe from..... The frelible pipe broke from the joint
122,Pacha Bharat Kumar,4.0 out of 5 stars,Please check pricing 2/3 vendors before buying,Reviewed in India on 26 July 2021,Good. Satisfied with working. But same product price was decreased after two days in amazon. Disappointed.
123,Justin,1.0 out of 5 stars,Damaged goods,Reviewed in India on 25 July 2021,Too damaged no manual or instruction poorly made and feels fake
124,Mihir K.,5.0 out of 5 stars,Average,Reviewed in India on 25 July 2021,"One of the extension pipe is broken, that can't be used"
125,Anu Jones,5.0 out of 5 stars,Power cord,Reviewed in India on 25 July 2021,"Power cord may be longer than the present one, a retractable mechanism to be in built for winding the power cord"
126,Aamir,2.0 out of 5 stars,"Don't buy this, Not value for money",Reviewed in India on 24 July 2021,"This product from black and decker is not upto the mark. Although, the suction and blow works good, but the body material  is not durable. It is made of very cheap plastic. Especially rods and pipes are vulnerable to break. The vacuum is not value for money.I bought 2 units of this product and the pipes and rods of both broke just on 3rd or 4th use. amazon accepted them back and refunded all the money but such products should not be sold by amazon as it degrades the companies reputation."
127,imran jaffar,5.0 out of 5 stars,Best value for money vacuum cleaner,Reviewed in India on 23 July 2021,This is the best value for money vacuum cleaner you can ever buy. For regular homes 1200-1400 watts capacity VC are more than sufficient. This one is fairly priced with the assurance of a mighty brand name. I find the machine to be super handy cleaning tool. Great stuff Black and Decker !
128,Yogesh C Dhokai,5.0 out of 5 stars,Good vacuum cleaner at a reasonable price,Reviewed in India on 12 July 2021,"The product is good and does exactly what it is meant to do. Suction power is strong enough to suck the dust particles from even tiniest of the cracks. Sofa brush is very good and cleans the sofa aptly. Wet suction is an added advantage and helps in removing the water very easily. Though when I bought this, I thought wet is not going to be useful, it came in very handy during 3 different times.I would recommend this vacuum cleaner than anything else that is costly and fancy. This is the best vacuum cleaner available in a very reasonable price. Just go for it."
129,yallappa c.,4.0 out of 5 stars,Rise the product pressure then easy to clean,Reviewed in India on 11 July 2021,Good product but pipe too short
130,Amazon Customer,2.0 out of 5 stars,Not that great,Reviewed in India on 11 July 2021,The issue that I am facing is when its socks water its throwing out from out outlet
131,Amazon Customer,1.0 out of 5 stars,Worst products,Reviewed in India on 10 July 2021,Very poor qualityWet type not in useMoney vest
132,Joash Mondal,5.0 out of 5 stars,Pretty good product! Too short a hose..,Reviewed in India on 6 July 2021,Black and Decker does it again. No complaints yet. It works as designed. However only one flaw our feedback is that the hose is way too short. Apart from that pretty decent!
133,Amazon Customer,4.0 out of 5 stars,Good n Sturdy,Reviewed in India on 5 July 2021,Good vacc cleaner
134,Lijo John,1.0 out of 5 stars,Not good,Reviewed in India on 4 July 2021,Not worth for money
135,Jenin smile.t.k,5.0 out of 5 stars,Excellent product,Reviewed in India on 1 July 2021,Excellent purchase..Over all good
136,Hansa Sosa,5.0 out of 5 stars,"Everything is good, just water carrying capacity is low,",Reviewed in India on 1 July 2021,"Everything is good, just water carrying capacity is low, stops after storing around 2-3 liters of water and little noisy. Should provide more tools along with it, i had to purchase accessories from outside.  Given 5 star for price and power."
137,Musab,1.0 out of 5 stars,Waste of money,Reviewed in India on 28 June 2021,"Low performance, low suction not satisfied"
138,Dr adnan raina,1.0 out of 5 stars,It has very low grade body strength,Reviewed in India on 27 June 2021,I would suggest not to buy it
139,pragyanjit Nayak,3.0 out of 5 stars,Some by default in vaccum cleaner,Reviewed in India on 26 June 2021,Good product...but blower and suction works same time
140,Prakasam B,4.0 out of 5 stars,Vfm🤘🏻,Reviewed in India on 21 June 2021,Product is good and effective however delivery was over delayed.. Understand amidst covid expectng delay but too much of takes..
141,ALLAM,4.0 out of 5 stars,Power Machine,Reviewed in India on 20 June 2021,It's purely a vacuum cleaner and not a powerful blower. Suction power is great. There is no locking mechanism for the wheels. So the machine rolls and fall down  if you keep it at height. It's hard to reach roof with the supplied tubes (2)
142,Amazon Customer,5.0 out of 5 stars,Great,Reviewed in India on 18 June 2021,Absolutely good and powerful machine
143,Nideesh sangal,4.0 out of 5 stars,Good,Reviewed in India on 17 June 2021,None
144,Pankaj Sharma,2.0 out of 5 stars,Extension tube is too small and does not reach the ceiling.,Reviewed in India on 15 June 2021,The product is good but the extension tube is too small. And this is not at useful to clean the ceiling as it cannot reach the ceiling. So I request if you can provide me with an additional extension tube. Or return the product and refund my money. As the product is of no use to me.
145,Hamza,4.0 out of 5 stars,Good,Reviewed in India on 14 June 2021,Good
146,stanzin tsewang,5.0 out of 5 stars,Nice I like it,Reviewed in India on 13 June 2021,Good product value for
147,Vijay,4.0 out of 5 stars,Good product,Reviewed in India on 10 June 2021,Product is good but don't have much options for different use.
148,Amazon Customer,5.0 out of 5 stars,Tooo noisy,Reviewed in India on 5 June 2021,It's good but too noisy annoying productNot reliable quality
149,KISHORE KUMAR V,1.0 out of 5 stars,Waste of money 💰,Reviewed in India on 5 June 2021,Waste of money 💰💰...
150,parveen prajapat,5.0 out of 5 stars,Robust quality and good suction capacity.,Reviewed in India on 5 June 2021,First I received a product which suction is very low.. then I request for replace and now received vacuum cleaner have good suction capacity....
151,Shanita,1.0 out of 5 stars,"Too noisy, very cheap quality, no speed regulation.",Reviewed in India on 2 June 2021,"The suction pipe broke within a month, the flexible part came off and with great difficulty put it back. This is a cheap chinese product surprized how quality of black & decker is compromised."
152,palanisamy,3.0 out of 5 stars,கிளீனிங் வெரி குட்,Reviewed in India on 31 May 2021,திஸ் வேக்கம் கிளீனர் ப்ராடக்ட் வெரி குட் ப்ராடக்ட் பேக்கிங் இது டெக்ஸ்ட் பண்பைப் டேமேஜ் ப்ராடக்ட் பேக்கிங் வெரி வெரி சுமார். ( யுவர் பேக்கிங் வெறி இன் பாட்டன்×)
153,Sajan Taras,5.0 out of 5 stars,👍🏻👌🏻👌🏻✌🏻🌟🌟🌟✨✨,Reviewed in India on 30 May 2021,👍🏻👌🏻👌🏻✌🏻🌟🌟🌟✨✨
154,Bushra,5.0 out of 5 stars,best performance....a bit noisy,Reviewed in India on 29 May 2021,good buy
155,Nizam,4.0 out of 5 stars,Value for money product.,Reviewed in India on 29 May 2021,At the price the product is good. I would recommend it to others.Have been using it for a few weeks now.No issues with the suction or blower.Only issue I found is that the pipe provide is bit short. Not able to reach the celling Conner to clean spider webs. Or sliding window top corner.You can work around it.You cannot expect everything at this price point to be perfect.
156,Dr.ingle,3.0 out of 5 stars,Nice,Reviewed in India on 27 May 2021,Easy to use
157,Arvind Malhotra,5.0 out of 5 stars,Nice,Reviewed in India on 26 May 2021,Very good product
158,Harry Dolas,1.0 out of 5 stars,It is Noisy,Reviewed in India on 26 May 2021,Very Very Noisy
159,Madhabi Roy,5.0 out of 5 stars,Awesome,Reviewed in India on 23 May 2021,Awesome
160,Amarjit,5.0 out of 5 stars,Good product for professional and personal use,Reviewed in India on 22 May 2021,Suction power really goodTrusted brandWorks really well for wet surfaceMultiple suction masks are really healfull
161,Priyanka khilar,1.0 out of 5 stars,Appoint service personal  to give product details,Reviewed in India on 21 May 2021,Some kind of home demonstrations should be given because it's use is complex and lack of knowledge can lead to many accidents.
162,Milan,4.0 out of 5 stars,Does what it says,Reviewed in India on 20 May 2021,Suction / Blower speed should be variable.
163,Kunal Raval,1.0 out of 5 stars,The worst product,Reviewed in India on 12 May 2021,"The vacuum cleaner quality is very poor, We got problem with his product within 8 months and the most worst thing is that it is not repairable. JUST USE AND THROUGH........I STRONGLY SUGGEST NOT TO BUY THIS ....WASTE OF MONEY...!!!!"
